Postazione;Codice Faldone;Numero Documenti;Data Registrazione;
coop\jessica.fiorini;X610289929;800;26-FEB-26;
coop\jessica.fiorini;X610289930;800;26-FEB-26;
coop\jessica.fiorini;X610289932;800;26-FEB-26;
coop\jessica.fiorini;X610289934;800;26-FEB-26;
coop\jessica.fiorini;X610289935;800;26-FEB-26;
coop\jessica.fiorini;X610289937;800;26-FEB-26;
coop\jessica.fiorini;X610289938;800;26-FEB-26;
coop\jessica.fiorini;X610289940;800;26-FEB-26;
coop\jessica.fiorini;X610289942;800;26-FEB-26;
coop\jessica.fiorini;X610289945;800;26-FEB-26;
coop\jessica.fiorini;X610289947;800;26-FEB-26;
coop\jessica.fiorini;X610289948;800;26-FEB-26;
coop\jessica.fiorini;X610289950;800;26-FEB-26;
coop\jessica.fiorini;X610289952;800;26-FEB-26;
coop\jessica.fiorini;X610289953;800;26-FEB-26;
coop\jessica.fiorini;X610289954;800;26-FEB-26;
coop\jessica.fiorini;X610289955;800;26-FEB-26;
coop\jessica.fiorini;X610289960;800;26-FEB-26;
coop\jessica.fiorini;X610289962;800;26-FEB-26;
coop\jessica.fiorini;X610289963;800;26-FEB-26;
coop\jessica.fiorini;X610289965;800;26-FEB-26;
coop\jessica.fiorini;X610289969;800;26-FEB-26;
coop\jessica.fiorini;X610289971;600;26-FEB-26;
coop\jessica.fiorini;X610289975;600;26-FEB-26;
coop\jessica.fiorini;X610289978;800;26-FEB-26;
coop\jessica.fiorini;X610289979;800;26-FEB-26;
coop\jessica.fiorini;X610289982;800;26-FEB-26;
coop\jessica.fiorini;X610289983;800;26-FEB-26;
coop\jessica.fiorini;X610289986;800;26-FEB-26;
coop\jessica.fiorini;X610289987;800;26-FEB-26;
coop\jessica.fiorini;X610289992;939;26-FEB-26;
coop\jessica.fiorini;X610289994;600;26-FEB-26;
coop\jessica.fiorini;X610289999;600;26-FEB-26;
coop\jessica.fiorini;X610290000;600;26-FEB-26;
coop\jessica.fiorini;X610290001;600;26-FEB-26;
coop\jessica.fiorini;X610290002;600;26-FEB-26;
coop\jessica.fiorini;X610290003;600;26-FEB-26;
coop\jessica.fiorini;X610290004;800;26-FEB-26;
coop\jessica.fiorini;X610290005;600;26-FEB-26;
coop\jessica.fiorini;X610290006;600;26-FEB-26;
coop\jessica.fiorini;X610290007;600;26-FEB-26;
coop\jessica.fiorini;X610290008;600;26-FEB-26;
coop\jessica.fiorini;X610290009;600;26-FEB-26;
coop\jessica.fiorini;X610290010;600;26-FEB-26;
coop\jessica.fiorini;X610290011;800;26-FEB-26;
coop\jessica.fiorini;X610290012;600;26-FEB-26;
coop\jessica.fiorini;X610290013;600;26-FEB-26;
coop\jessica.fiorini;X610290014;600;26-FEB-26;
coop\jessica.fiorini;X610290015;600;26-FEB-26;
coop\jessica.fiorini;X610290016;600;26-FEB-26;
coop\jessica.fiorini;X610290017;600;26-FEB-26;
coop\jessica.fiorini;X610290018;600;26-FEB-26;
coop\jessica.fiorini;X610290019;600;26-FEB-26;
coop\jessica.fiorini;X610290020;600;26-FEB-26;
coop\jessica.fiorini;X610290021;800;26-FEB-26;
coop\jessica.fiorini;X610290022;800;26-FEB-26;
coop\jessica.fiorini;X610290023;800;26-FEB-26;
coop\jessica.fiorini;X610290024;800;26-FEB-26;
coop\jessica.fiorini;X610290025;800;26-FEB-26;
coop\jessica.fiorini;X610290026;720;26-FEB-26;
coop\jessica.fiorini;X610290027;773;26-FEB-26;
coop\jessica.fiorini;X610290028;849;26-FEB-26;
coop\jessica.fiorini;X610290029;868;26-FEB-26;
coop\jessica.fiorini;X610290030;800;26-FEB-26;
coop\jessica.fiorini;X610290073;800;26-FEB-26;
coop\jessica.fiorini;X620289774;800;26-FEB-26;
coop\jessica.fiorini;X620290051;800;26-FEB-26;
coop\jessica.fiorini;X620290052;800;26-FEB-26;
coop\jessica.fiorini;X620290053;800;26-FEB-26;
coop\jessica.fiorini;X620290054;800;26-FEB-26;
coop\jessica.fiorini;X620290055;800;26-FEB-26;
coop\jessica.fiorini;X620290056;800;26-FEB-26;
coop\jessica.fiorini;X620290057;800;26-FEB-26;
coop\jessica.fiorini;X620290058;600;26-FEB-26;
coop\jessica.fiorini;X620290059;600;26-FEB-26;
coop\jessica.fiorini;X620290060;600;26-FEB-26;
coop\jessica.fiorini;X620290061;600;26-FEB-26;
coop\jessica.fiorini;X620290062;800;26-FEB-26;
coop\jessica.fiorini;X620290063;800;26-FEB-26;
coop\jessica.fiorini;X620290064;800;26-FEB-26;
coop\jessica.fiorini;X620290065;800;26-FEB-26;
coop\jessica.fiorini;X620290066;800;26-FEB-26;
coop\jessica.fiorini;X620290067;712;26-FEB-26;
coop\jessica.fiorini;X620290068;798;26-FEB-26;
coop\jessica.fiorini;X620290069;600;26-FEB-26;
coop\jessica.fiorini;X620290070;600;26-FEB-26;
coop\jessica.fiorini;X620290071;389;26-FEB-26;
coop\jessica.fiorini;X650289637;80;26-FEB-26;
coop\jessica.fiorini;X650289640;80;26-FEB-26;
coop\jessica.fiorini;X650289641;80;26-FEB-26;
coop\jessica.fiorini;X650289643;240;26-FEB-26;
coop\jessica.fiorini;X650290031;240;26-FEB-26;
coop\jessica.fiorini;X650290032;240;26-FEB-26;
coop\jessica.fiorini;X650290033;240;26-FEB-26;
coop\jessica.fiorini;X650290034;240;26-FEB-26;
coop\jessica.fiorini;X650290035;240;26-FEB-26;
coop\jessica.fiorini;X650290036;240;26-FEB-26;
coop\jessica.fiorini;X650290037;240;26-FEB-26;
coop\jessica.fiorini;X650290038;240;26-FEB-26;
coop\jessica.fiorini;X650290039;240;26-FEB-26;
coop\jessica.fiorini;X650290040;240;26-FEB-26;
coop\jessica.fiorini;X650290041;240;26-FEB-26;
coop\jessica.fiorini;X650290042;240;26-FEB-26;
coop\jessica.fiorini;X650290043;240;26-FEB-26;
coop\jessica.fiorini;X650290044;240;26-FEB-26;
coop\jessica.fiorini;X650290045;240;26-FEB-26;
coop\jessica.fiorini;X650290046;240;26-FEB-26;
coop\jessica.fiorini;X650290047;240;26-FEB-26;
coop\jessica.fiorini;X650290048;239;26-FEB-26;
coop\jessica.fiorini;X650290049;156;26-FEB-26;
