Postazione;Codice Faldone;Codice Scatola;Numero Documenti;Data Registrazione;
coop\elisa.scappini;X620289891;S621446223;80;26/02/2026 19:30:55;
coop\elisa.scappini;X620289892;S621446223;80;26/02/2026 19:30:55;
coop\elisa.scappini;X620289893;S621446224;80;26/02/2026 19:31:48;
coop\elisa.scappini;X620289894;S621446224;80;26/02/2026 19:31:48;
coop\elisa.scappini;X620289895;S621446224;80;26/02/2026 19:31:48;
coop\elisa.scappini;X620289896;S621446224;80;26/02/2026 19:31:48;
coop\elisa.scappini;X620289897;S621446224;86;26/02/2026 19:31:48;
coop\elisa.scappini;X620289898;S621446225;236;26/02/2026 19:33:27;
coop\elisa.scappini;X620289901;S621446225;240;26/02/2026 19:33:27;
coop\elisa.scappini;X620289902;S621446225;240;26/02/2026 19:33:27;
coop\elisa.scappini;X620289903;S621446225;240;26/02/2026 19:33:27;
coop\elisa.scappini;X620289904;S621446225;240;26/02/2026 19:33:27;
coop\elisa.scappini;X620289923;S621446356;718;26/02/2026 19:42:16;
coop\elisa.scappini;X620289924;S621446356;800;26/02/2026 19:42:16;
coop\elisa.scappini;X620289925;S621446356;733;26/02/2026 19:42:16;
coop\elisa.scappini;X620289926;S621446356;800;26/02/2026 19:42:16;
coop\elisa.scappini;X620289927;S621446356;800;26/02/2026 19:42:16;
coop\elisa.scappini;X620289928;S621446407;800;26/02/2026 19:43:49;
coop\elisa.scappini;X620289931;S621446407;800;26/02/2026 19:43:49;
coop\elisa.scappini;X620289933;S621446407;600;26/02/2026 19:43:49;
coop\elisa.scappini;X620289936;S621446407;600;26/02/2026 19:43:49;
coop\elisa.scappini;X620289939;S621446407;600;26/02/2026 19:43:49;
coop\elisa.scappini;X620289941;S621446437;600;26/02/2026 19:45:35;
coop\elisa.scappini;X620289943;S621446437;600;26/02/2026 19:45:35;
coop\elisa.scappini;X620289944;S621446437;600;26/02/2026 19:45:35;
coop\elisa.scappini;X620289946;S621446437;730;26/02/2026 19:45:35;
coop\elisa.scappini;X620289949;S621446437;800;26/02/2026 19:45:35;
coop\elisa.scappini;X620289951;S621446438;796;26/02/2026 19:47:29;
coop\elisa.scappini;X620289956;S621446438;800;26/02/2026 19:47:29;
coop\elisa.scappini;X620289957;S621446438;797;26/02/2026 19:47:29;
coop\elisa.scappini;X620289958;S621446438;800;26/02/2026 19:47:29;
coop\elisa.scappini;X620289959;S621446438;697;26/02/2026 19:47:29;
coop\elisa.scappini;X620289961;S621446439;894;26/02/2026 19:49:24;
coop\elisa.scappini;X620289964;S621446439;793;26/02/2026 19:49:24;
coop\elisa.scappini;X620289966;S621446439;800;26/02/2026 19:49:24;
coop\elisa.scappini;X620289967;S621446439;800;26/02/2026 19:49:24;
coop\elisa.scappini;X620289968;S621446439;800;26/02/2026 19:49:24;
coop\elisa.scappini;X620289970;S621446440;800;26/02/2026 19:54:01;
coop\elisa.scappini;X620289972;S621446440;946;26/02/2026 19:54:01;
coop\elisa.scappini;X620289973;S621446440;976;26/02/2026 19:54:01;
coop\elisa.scappini;X620289974;S621446440;997;26/02/2026 19:54:01;
coop\elisa.scappini;X620289976;S621446440;800;26/02/2026 19:54:01;
coop\elisa.scappini;X620289977;S621446441;988;26/02/2026 20:02:42;
coop\elisa.scappini;X620289980;S621446441;800;26/02/2026 20:02:42;
coop\elisa.scappini;X620289981;S621446441;800;26/02/2026 20:02:42;
coop\elisa.scappini;X620289984;S621446441;800;26/02/2026 20:02:42;
coop\elisa.scappini;X620289985;S621446441;985;26/02/2026 20:02:42;
coop\elisa.scappini;X650288663;S651419782;689;26/02/2026 17:52:00;
coop\elisa.scappini;X650289637;S651419782;80;26/02/2026 17:52:00;
coop\elisa.scappini;X650289640;S651419782;80;26/02/2026 17:52:00;
coop\elisa.scappini;X650289641;S651419782;80;26/02/2026 17:52:00;
